date posted,day streak,👑 Round,👑,1/6,2/6,3/6,4/6,5/6,6/6,X/6
2025-06-16,**Your group is on a 12 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11 @hereisrachel,--,--,@sinfulprey11 @hereisrachel,@CardinalJoker @molligan82 @jbonly,@Jay @toastychu @Asa @joel,@MajorDanger,@TheBestLoser @Lorax
2025-06-17,**Your group is on a 13 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel @toastychu @molligan82,--,--,@hereisrachel @toastychu @molligan82,@Jay @MajorDanger @joel @TheFastestClark,@CardinalJoker @jbonly @Lorax @Asa,@sinfulprey11,@TheBestLoser
2025-06-18,**Your group is on a 14 day streak!** 🔥 Here are yesterday's results:,3/6,@TheFastestClark @Asa,--,--,@TheFastestClark @Asa,@Heather,@jbonly @joel @sinfulprey11 @Jay @Lorax @CardinalJoker @toastychu,@hereisrachel @MajorDanger,@TheBestLoser
2025-06-19,**Your group is on a 15 day streak!** 🔥 Here are yesterday's results:,3/6,@toastychu @joel @jbonly,--,--,@toastychu @joel @jbonly,@hereisrachel @sinfulprey11 @CardinalJoker @TheBestLoser @molligan82 @MajorDanger,@Jay @Heather @Asa,@Lorax,@TheFastestClark
2025-06-20,**Your group is on a 16 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel @joel @CardinalJoker @jbonly,--,--,@hereisrachel @joel @CardinalJoker @jbonly,@Heather @MajorDanger,@sinfulprey11 @toastychu,@TheFastestClark @molligan82 @Lorax,@Jay
2025-06-22,**Your group is on a 17 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@toastychu @CardinalJoker @joel,@MajorDanger @Jay @jbonly,@Lorax,@hereisrachel
2025-06-22,**Your group is on an 18 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel @Jay @sinfulprey11 @CardinalJoker,--,--,@hereisrachel @Jay @sinfulprey11 @CardinalJoker,@molligan82 @jbonly @TheFastestClark,@Heather @toastychu @MajorDanger @Lorax,--,@joel
2025-06-24,**Your group is on a 19 day streak!** 🔥 Here are yesterday's results:,1/6,@CardinalJoker,@CardinalJoker,--,@Heather @MajorDanger,@hereisrachel @Lorax @joel @TheFastestClark @jbonly @sinfulprey11,@Jay @molligan82,@toastychu,--
2025-06-25,**Your group is on a 20 day streak!** 🔥 Here are yesterday's results:,4/6,@Lorax @toastychu @Heather @molligan82 @jbonly,--,--,--,@Lorax @toastychu @Heather @molligan82 @jbonly,@sinfulprey11 @CardinalJoker,@joel,@hereisrachel @MajorDanger @TheFastestClark
2025-06-25,**Your group is on a 21 day streak!** 🔥 Here are yesterday's results:,4/6,@Heather @TheFastestClark @joel @molligan82,--,--,--,@Heather @TheFastestClark @joel @molligan82,@sinfulprey11 @hereisrachel @toastychu @jbonly,@Jay @MajorDanger @CardinalJoker,@Lorax
2025-06-26,**Your group is on a 22 day streak!** 🔥 Here are yesterday's results:,3/6,@jbonly @Lorax,--,--,@jbonly @Lorax,@molligan82 @hereisrachel @sinfulprey11,@joel @Jay @TheFastestClark @CardinalJoker,--,@TheBestLoser @Heather @MajorDanger @toastychu
2025-06-28,**Your group is on a 23 day streak!** 🔥 Here are yesterday's results:,2/6,@Lorax @hereisrachel @Jay @TheFastestClark,--,@Lorax @hereisrachel @Jay @TheFastestClark,@molligan82,@CardinalJoker @sinfulprey11 @Heather @toastychu,@TheBestLoser,--,--
2025-06-29,**Your group is on a 24 day streak!** 🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,@TheBestLoser @Lorax @hereisrachel @joel,@Heather @MajorDanger,@sinfulprey11 @molligan82 @toastychu,@jbonly,@Jay
2025-06-30,**Your group is on a 25 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@Jay,@Heather @molligan82 @joel @MajorDanger @CardinalJoker,@Lorax @jbonly,@TheFastestClark @hereisrachel @toastychu
2025-07-01,**Your group is on a 26 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@Jay @TheBestLoser @molligan82 @MajorDanger @joel @toastychu @TheFastestClark @jbonly,@sinfulprey11 @Heather @Lorax,--,@CardinalJoker
2025-07-02,**Your group is on a 27 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11 @TheFastestClark @CardinalJoker,--,--,@sinfulprey11 @TheFastestClark @CardinalJoker,@Heather @jbonly @joel @MajorDanger,@hereisrachel @toastychu,@TheBestLoser @Lorax,--
2025-07-03,**Your group is on a 28 day streak!** 🔥 Here are yesterday's results:,1/6,@MajorDanger,@MajorDanger,--,@molligan82,@hereisrachel @joel @jbonly,@Lorax @TheBestLoser @Heather @Jay,--,@TheFastestClark @toastychu @sinfulprey11
2025-07-04,**Your group is on a 29 day streak!** 🔥 Here are yesterday's results:,3/6,@CardinalJoker,--,--,@CardinalJoker,@TheFastestClark @molligan82 @jbonly,@sinfulprey11 @hereisrachel @TheBestLoser @joel @MajorDanger,@Shawn,@Heather @Lorax @Jay @toastychu
2025-07-05,**Your group is on a 30 day streak!** 🔥 Here are yesterday's results:,4/6,@hereisrachel @Jay,--,--,--,@hereisrachel @Jay,@CardinalJoker,@sinfulprey11 @molligan82 @MajorDanger,@TheFastestClark @Lorax @TheBestLoser
2025-07-05,**Your group is on a 31 day streak!** 🔥 Here are yesterday's results:,2/6,@joel,--,@joel,--,@jbonly,@MajorDanger @molligan82,@Shawn @Heather @Jay,@Lorax @hereisrachel @sinfulprey11 @TheBestLoser
2025-07-07,**Your group is on a 32 day streak!** 🔥 Here are yesterday's results:,3/6,@jbonly,--,--,@jbonly,@hereisrachel @Shawn @sinfulprey11,@joel @MajorDanger,@toastychu @Heather,@TheFastestClark @TheBestLoser @Jay
2025-07-08,**Your group is on a 33 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel @Lorax,--,--,@hereisrachel @Lorax,@joel @toastychu @sinfulprey11 @Jay @Shawn @jbonly @CardinalJoker,--,@MajorDanger,--
2025-07-08,**Your group is on a 34 day streak!** 🔥 Here are yesterday's results:,2/6,@Lorax,--,@Lorax,@Jay,@Shawn @sinfulprey11 @toastychu @MajorDanger @TheBestLoser @TheFastestClark @Heather @joel,--,--,@hereisrachel @jbonly
2025-07-10,**Your group is on a 35 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@Shawn @toastychu @joel @sinfulprey11 @jbonly,@CardinalJoker @MajorDanger,@Lorax,@TheBestLoser
2025-07-11,**Your group is on a 36 day streak!** 🔥 Here are yesterday's results:,3/6,@CardinalJoker,--,--,@CardinalJoker,@Lorax @Shawn @joel,@hereisrachel @sinfulprey11,--,@MajorDanger @molligan82 @toastychu @jbonly
2025-07-12,**Your group is on a 37 day streak!** 🔥 Here are yesterday's results:,2/6,@sinfulprey11,--,@sinfulprey11,@Heather @jbonly @joel,@Shawn @toastychu @Jay,@hereisrachel @CardinalJoker @MajorDanger,--,--
2025-07-12,**Your group is on a 38 day streak!** 🔥 Here are yesterday's results:,4/6,@joel,--,--,--,@joel,@Jay @Lorax @sinfulprey11 @Shawn @toastychu @hereisrachel @Heather @jbonly,@MajorDanger,@CardinalJoker
2025-07-13,**Your group is on a 39 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11 @MajorDanger @TheFastestClark,--,--,@sinfulprey11 @MajorDanger @TheFastestClark,@hereisrachel @Shawn @toastychu @Lorax,@Heather @jbonly,@joel,@CardinalJoker
2025-07-15,**Your group is on a 40 day streak!** 🔥 Here are yesterday's results:,3/6,@Heather,--,--,@Heather,@jbonly,@sinfulprey11 @Shawn @hereisrachel,@joel,@MajorDanger @toastychu @Jay
2025-07-16,**Your group is on a 41 day streak!** 🔥 Here are yesterday's results:,3/6,@Shawn,--,--,@Shawn,--,@Lorax @hereisrachel @Jay @MajorDanger,@Heather @jbonly,@sinfulprey11 @TheFastestClark @toastychu @joel
2025-07-17,**Your group is on a 42 day streak!** 🔥 Here are yesterday's results:,3/6,@CardinalJoker,--,--,@CardinalJoker,@hereisrachel,@Shawn @jbonly,@Jay @joel @MajorDanger,@sinfulprey11 @TheFastestClark
2025-07-17,**Your group is on a 43 day streak!** 🔥 Here are yesterday's results:,4/6,@Shawn @sinfulprey11,--,--,--,@Shawn @sinfulprey11,@hereisrachel @jbonly,@Lorax @Heather,@CardinalJoker @Jay
2025-07-19,**Your group is on a 44 day streak!** 🔥 Here are yesterday's results:,3/6,@Lorax @Heather @jbonly,--,--,@Lorax @Heather @jbonly,@hereisrachel @sinfulprey11 @CardinalJoker @TheFastestClark,@MajorDanger,@Jay,@toastychu @Shawn
2025-07-19,**Your group is on a 45 day streak!** 🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,@Heather,@hereisrachel @Shawn @sinfulprey11 @joel @jbonly @MajorDanger,@Lorax,@Jay,@toastychu
2025-07-20,**Your group is on a 46 day streak!** 🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@Jay @sinfulprey11 @jbonly,@Lorax @hereisrachel @Shawn @MajorDanger @toastychu @Heather,@CardinalJoker,--
2025-07-21,**Your group is on a 47 day streak!** 🔥 Here are yesterday's results:,5/6,@hereisrachel @Shawn @toastychu,--,--,--,--,@hereisrachel @Shawn @toastychu,@sinfulprey11 @CardinalJoker @joel @MajorDanger @Lorax,@jbonly
2025-07-23,**Your group is on a 48 day streak!** 🔥 Here are yesterday's results:,3/6,@joel @Heather @Lorax,--,--,@joel @Heather @Lorax,@sinfulprey11 @Shawn @hereisrachel @jbonly @MajorDanger,--,--,@CardinalJoker @toastychu
2025-07-24,**Your group is on a 49 day streak!** 🔥 Here are yesterday's results:,1/6,@sinfulprey11,@sinfulprey11,@eplex,--,@Shawn @CardinalJoker @jbonly @hereisrachel,@Heather,@joel @Lorax,@toastychu
2025-07-25,**Your group is on a 50 day streak!** 🔥 Here are yesterday's results:,3/6,@MajorDanger @jbonly,--,--,@MajorDanger @jbonly,@sinfulprey11,@joel @Heather @hereisrachel,--,@CardinalJoker @Shawn
2025-07-25,**Your group is on a 51 day streak!** 🔥 Here are yesterday's results:,3/6,@CardinalJoker @Lorax,--,--,@CardinalJoker @Lorax,@Shawn,@joel @jbonly,@sinfulprey11,@hereisrachel @MajorDanger @Heather
2025-07-26,**Your group is on a 52 day streak!** 🔥 Here are yesterday's results:,3/6,@Heather @CardinalJoker @hereisrachel @jbonly,--,--,@Heather @CardinalJoker @hereisrachel @jbonly,@sinfulprey11 @Shawn,@Lorax @toastychu,--,--
2025-07-27,**Your group is on a 53 day streak!** 🔥 Here are yesterday's results:,3/6,@jbonly @sinfulprey11 @CardinalJoker,--,--,@jbonly @sinfulprey11 @CardinalJoker,@Shawn,@hereisrachel @MajorDanger,@Heather,@Lorax @toastychu
2025-07-29,**Your group is on a 54 day streak!** 🔥 Here are yesterday's results:,6/6,@sinfulprey11 @CardinalJoker @Shawn @hereisrachel,--,--,--,--,--,@sinfulprey11 @CardinalJoker @Shawn @hereisrachel,@jbonly @joel @toastychu
2025-07-30,**Your group is on a 55 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel @Shawn,--,--,@hereisrachel @Shawn,@joel @TheFastestClark @jbonly,@Heather,--,@toastychu @CardinalJoker @MajorDanger @sinfulprey11
2025-07-31,**Your group is on a 56 day streak!** 🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@sinfulprey11 @CardinalJoker @hereisrachel,@Shawn,@MajorDanger,@Heather @toastychu
2025-07-31,**Your group is on a 57 day streak!** 🔥 Here are yesterday's results:,3/6,@Lorax,--,--,@Lorax,@CardinalJoker,@MajorDanger @sinfulprey11 @hereisrachel,@joel,@Shawn @TheFastestClark
2025-08-02,**Your group is on a 58 day streak!** 🔥 Here are yesterday's results:,4/6,@joel @hereisrachel @Lorax,--,--,--,@joel @hereisrachel @Lorax,@Shawn,@sinfulprey11,@MajorDanger @CardinalJoker
2025-08-03,**Your group is on a 59 day streak!** 🔥 Here are yesterday's results:,4/6,@CardinalJoker @sinfulprey11 @Shawn @hereisrachel @jbonly @Heather,--,--,--,@CardinalJoker @sinfulprey11 @Shawn @hereisrachel @jbonly @Heather,@toastychu @TheFastestClark,@joel,--
2025-08-04,**Your group is on a 60 day streak!** 🔥 Here are yesterday's results:,3/6,@Shawn @toastychu,--,--,@Shawn @toastychu,@joel @TheFastestClark,@hereisrachel @Heather @sinfulprey11 @jbonly,--,@MajorDanger
2025-08-05,**Your group is on a 61 day streak!** 🔥 Here are yesterday's results:,3/6,@joel @hereisrachel,--,--,@joel @hereisrachel,@Shawn @sinfulprey11 @jbonly @Heather,--,--,@toastychu
2025-08-06,**Your group is on a 62 day streak!** 🔥 Here are yesterday's results:,4/6,@joel @hereisrachel @jbonly,--,--,--,@joel @hereisrachel @jbonly,@sinfulprey11 @Heather,@Shawn,--
2025-08-07,**Your group is on a 63 day streak!** 🔥 Here are yesterday's results:,3/6,@Shawn @sinfulprey11,--,--,@Shawn @sinfulprey11,@hereisrachel @jbonly,@joel @CardinalJoker @Heather @Jay,--,@TheFastestClark
2025-08-08,**Your group is on a 64 day streak!** 🔥 Here are yesterday's results:,3/6,@joel,--,--,@joel,@hereisrachel @CardinalJoker @jbonly,@Shawn,@sinfulprey11 @toastychu,--
2025-08-09,**Your group is on a 65 day streak!** 🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,--,@joel @hereisrachel @jbonly,@Shawn @sinfulprey11,--,@toastychu @MajorDanger @Lorax @Heather
2025-08-10,**Your group is on a 66 day streak!** 🔥 Here are yesterday's results:,1/6,@TheBestLoser,@TheBestLoser,--,@Shawn @sinfulprey11,@joel @hereisrachel @CardinalJoker,@Heather,--,@Lorax @MajorDanger @Jay @toastychu
2025-08-11,**Your group is on a 67 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11 @Shawn @TheFastestClark,--,--,@sinfulprey11 @Shawn @TheFastestClark,@Lorax @hereisrachel @joel,@CardinalJoker @jbonly,--,@toastychu
2025-08-12,**Your group is on a 68 day streak!** 🔥 Here are yesterday's results:,3/6,@CardinalJoker @Shawn,--,--,@CardinalJoker @Shawn,--,@Heather @hereisrachel @toastychu @sinfulprey11 @joel,@Lorax,--
2025-08-13,**Your group is on a 69 day streak!** 🔥 Here are yesterday's results:,2/6,@joel,--,@joel,@hereisrachel @Shawn @CardinalJoker,@Heather @TheFastestClark @sinfulprey11,@jbonly,--,@toastychu
2025-08-14,**Your group is on a 70 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@joel,@hereisrachel,--,@Shawn @Heather @CardinalJoker @jbonly
2025-08-15,**Your group is on a 71 day streak!** 🔥 Here are yesterday's results:,4/6,@sinfulprey11 @jbonly,--,--,--,@sinfulprey11 @jbonly,@joel @hereisrachel,@Heather @Shawn @CardinalJoker,@toastychu @Lorax
2025-08-16,**Your group is on a 72 day streak!** 🔥 Here are yesterday's results:,4/6,@joel @Shawn @Lorax,--,--,--,@joel @Shawn @Lorax,@CardinalJoker @sinfulprey11,@hereisrachel,@jbonly
2025-08-17,**Your group is on a 73 day streak!** 🔥 Here are yesterday's results:,2/6,@sinfulprey11,--,@sinfulprey11,@Shawn @Lorax,@CardinalJoker @jbonly,@joel @hereisrachel,--,--
2025-08-17,**Your group is on a 74 day streak!** 🔥 Here are yesterday's results:,3/6,@joel @Shawn,--,--,@joel @Shawn,@jbonly @hereisrachel,@Heather @sinfulprey11,@CardinalJoker,@Lorax
2025-08-19,**Your group is on a 75 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@CardinalJoker @Lorax @joel,--,@sinfulprey11,@Shawn
2025-08-20,**Your group is on a 76 day streak!** 🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@sinfulprey11 @Lorax,@Shawn @Heather,@CardinalJoker,--
2025-08-21,**Your group is on a 77 day streak!** 🔥 Here are yesterday's results:,5/6,@sinfulprey11 @hereisrachel @CardinalJoker,--,--,--,--,@sinfulprey11 @hereisrachel @CardinalJoker,--,@Shawn @Lorax
2025-08-22,**Your group is on a 78 day streak!** 🔥 Here are yesterday's results:,4/6,@hereisrachel,--,--,--,@hereisrachel,@Lorax @Shawn,--,@CardinalJoker @sinfulprey11
2025-08-23,**Your group is on a 79 day streak!** 🔥 Here are yesterday's results:,4/6,@Lorax,--,--,--,@Lorax,@hereisrachel @joel @CardinalJoker,@sinfulprey11 @Shawn,--
2025-08-24,**Your group is on an 80 day streak!** 🔥 Here are yesterday's results:,4/6,@sinfulprey11 @hereisrachel @CardinalJoker @Heather,--,--,--,@sinfulprey11 @hereisrachel @CardinalJoker @Heather,@joel,@Shawn,@Lorax
2025-08-25,**Your group is on an 81 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@hereisrachel @CardinalJoker @Shawn,@joel @Lorax @Heather,--,--
2025-08-26,**Your group is on an 82 day streak!** 🔥 Here are yesterday's results:,4/6,@CardinalJoker @Shawn,--,--,--,@CardinalJoker @Shawn,@sinfulprey11 @Heather,@Lorax @joel @hereisrachel,--
2025-08-27,**Your group is on an 83 day streak!** 🔥 Here are yesterday's results:,3/6,@joel @sinfulprey11,--,--,@joel @sinfulprey11,@hereisrachel @jbonly @CardinalJoker,--,@Shawn @Lorax,@toastychu
2025-08-28,**Your group is on an 84 day streak!** 🔥 Here are yesterday's results:,2/6,@sinfulprey11,--,@sinfulprey11,@jbonly,@Shawn @hereisrachel @CardinalJoker,@Lorax @TheFastestClark,--,--
2025-08-29,**Your group is on an 85 day streak!** 🔥 Here are yesterday's results:,3/6,@sinfulprey11,--,--,@sinfulprey11,@hereisrachel @Lorax,@Shawn @jbonly @CardinalJoker,--,--
2025-08-30,**Your group is on an 86 day streak!** 🔥 Here are yesterday's results:,4/6,@Shawn @Lorax @CardinalJoker @jbonly,--,--,--,@Shawn @Lorax @CardinalJoker @jbonly,@sinfulprey11 @hereisrachel,@joel,--
2025-08-31,**Your group is on an 87 day streak!** 🔥 Here are yesterday's results:,4/6,@hereisrachel @sinfulprey11,--,--,--,@hereisrachel @sinfulprey11,@joel @Shawn @jbonly,--,@Lorax
2025-09-01,**Your group is on an 88 day streak!** 🔥 Here are yesterday's results:,2/6,@Shawn,--,@Shawn,@joel @sinfulprey11,@Heather @Lorax @hereisrachel @jbonly @CardinalJoker,--,--,--
2025-09-02,**Your group is on an 89 day streak!** 🔥 Here are yesterday's results:,3/6,@joel @Lorax @jbonly,--,--,@joel @Lorax @jbonly,@hereisrachel @sinfulprey11,@Shawn,--,--
2025-09-03,**Your group is on a 90 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @Shawn,--,--,@sinfulprey11 @Shawn,@joel @CardinalJoker,--,@hereisrachel @jbonly,--
2025-09-04,**Your group is on a 91 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @CardinalJoker,--,--,@sinfulprey11 @CardinalJoker,@hereisrachel @joel,@Shawn @jbonly,@Heather,@Lorax
2025-09-05,**Your group is on a 92 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly @joel,--,--,@jbonly @joel,@sinfulprey11,@hereisrachel @Shawn,--,@CardinalJoker
2025-09-06,**Your group is on a 93 day streak!** 🔥🔥🔥 Here are yesterday's results:,1/6,@TheBestLoser,@TheBestLoser,@CardinalJoker,@hereisrachel @TheFastestClark @Lorax,@sinfulprey11 @joel,@Shawn @jbonly,@Heather,--
2025-09-07,**Your group is on a 94 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@joel,@Shawn @jbonly,--,@CardinalJoker @sinfulprey11
2025-09-08,**Your group is on a 95 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@joel @jbonly @sinfulprey11,--,--,@joel @jbonly @sinfulprey11,@Heather @hereisrachel @Shawn @CardinalJoker,--,--,@Lorax
2025-09-09,**Your group is on a 96 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Shawn @joel,--,--,@hereisrachel @Shawn @joel,--,--,--,@sinfulprey11
2025-09-10,**Your group is on a 97 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @jbonly @joel,--,--,@Shawn @jbonly @joel,@sinfulprey11 @hereisrachel,--,--,--
2025-09-11,**Your group is on a 98 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Heather @hereisrachel @sinfulprey11,--,--,@Heather @hereisrachel @sinfulprey11,@Shawn @jbonly,@Lorax @joel,--,--
2025-09-12,**Your group is on a 99 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @jbonly @Shawn,--,--,@sinfulprey11 @jbonly @Shawn,@hereisrachel @joel,--,--,@Lorax
2025-09-13,**Your group is on a 100 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@jbonly @joel,--,--,@jbonly @joel,@hereisrachel @sinfulprey11,@Heather @Shawn,--,@Lorax
2025-09-14,**Your group is on a 101 day streak!** 🔥🔥🔥 Here are yesterday's results:,1/6,@TheBestLoser,@TheBestLoser,--,@hereisrachel @Lorax,@joel @sinfulprey11 @jbonly @CardinalJoker @Heather,--,--,@Shawn
2025-09-15,**Your group is on a 102 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@CardinalJoker @Shawn @sinfulprey11 @jbonly,@joel,--,--
2025-09-15,**Your group is on a 103 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @Heather,--,--,@hereisrachel @Heather,@sinfulprey11 @Lorax @jbonly,--,@joel @Shawn,--
2025-09-17,**Your group is on a 104 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@Lorax,--,@Lorax,@Heather @jbonly @joel,@sinfulprey11 @Shawn @hereisrachel @TheFastestClark,--,--,--
2025-09-18,**Your group is on a 105 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Heather @Shawn @jbonly,--,--,@Heather @Shawn @jbonly,@hereisrachel @joel,--,--,@CardinalJoker @sinfulprey11 @Lorax
2025-09-19,**Your group is on a 106 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@sinfulprey11 @hereisrachel @Shawn @jbonly,--,--,@sinfulprey11 @hereisrachel @Shawn @jbonly,@Lorax @joel,--,@Heather,--
2025-09-19,**Your group is on a 107 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@sinfulprey11 @joel,--,@sinfulprey11 @joel,@Shawn @jbonly,@CardinalJoker @hereisrachel,@Heather,--,@Lorax
2025-09-21,**Your group is on a 108 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@Lorax @hereisrachel,--,--,--,@Lorax @hereisrachel,@Heather @Shawn @jbonly,@joel @CardinalJoker,@sinfulprey11
2025-09-22,**Your group is on a 109 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,--,@joel @jbonly @Shawn @sinfulprey11 @dexter,@Lorax,--
2025-09-23,**Your group is on a 110 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@CardinalJoker,--,@CardinalJoker,--,@hereisrachel @Shawn @joel @jbonly,@sinfulprey11,--,--
2025-09-24,**Your group is on a 111 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@joel @Shawn,--,--,@joel @Shawn,@hereisrachel @jbonly,@sinfulprey11 @Lorax @Heather,--,--
2025-09-25,**Your group is on a 112 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@sinfulprey11 @Shawn @Heather @jbonly,@joel @CardinalJoker,--,--
2025-09-26,**Your group is on a 113 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel @sinfulprey11 @jbonly @Heather,--,--,@hereisrachel @sinfulprey11 @jbonly @Heather,--,@joel @Shawn,@Lorax,--
2025-09-26,**Your group is on a 114 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@sinfulprey11 @hereisrachel @jbonly,--,--,--,@sinfulprey11 @hereisrachel @jbonly,@joel,@Shawn,--
2025-09-28,**Your group is on a 115 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@hereisrachel,--,--,@hereisrachel,@joel,@Heather @CardinalJoker,@sinfulprey11,@jbonly @Shawn
2025-09-29,**Your group is on a 116 day streak!** 🔥🔥🔥 Here are yesterday's results:,2/6,@TheBestLoser,--,@TheBestLoser,@jbonly,@sinfulprey11,@joel @Shawn,@hereisrachel @Heather,--
2025-09-29,**Your group is on a 117 day streak!** 🔥🔥🔥 Here are yesterday's results:,4/6,@jbonly,--,--,--,@jbonly,@CardinalJoker @hereisrachel @Shawn @Heather @joel @sinfulprey11,--,--
2025-10-01,**Your group is on a 118 day streak!** 🔥🔥🔥 Here are yesterday's results:,3/6,@Shawn @joel,--,--,@Shawn @joel,@jbonly @hereisrachel,@sinfulprey11 @Heather,--,--
